,0
0,55786.4373352111
1,36370.45808862765
2,66226.11038519043
3,35786.52765354557
4,36556.854067833105
5,66226.11038519043
6,55785.2385560936
7,46361.35767076408
8,49169.39130687315
9,30130.029316662192
10,48957.85760056843
11,36739.87246034877
12,36780.38508021656
13,42388.21862863499
14,40339.501471325275
15,32789.83385899468
16,43046.369416460184
17,23980.275278189896
18,36474.91311280504
19,48998.37022043622
20,28082.477464044452
21,36526.36865500132
22,40450.27409013762
23,28329.95795675045
24,36601.70109949214
25,32789.760259753166
26,36556.854067833105
27,28298.28782426818
28,36556.854067833105
29,46468.17610909992
30,36561.99638310589
31,49386.76289472692
32,31949.015319095502
33,33010.5849448732
34,66461.37995405895
35,49487.435530778566
36,32766.65126836066
37,36380.933159900014
38,30133.536783319636
39,66158.1065477517
40,32944.696688289274
41,36556.854067833105
42,30133.536783319636
43,33038.04763941927
44,43039.610829651414
45,36652.51370650306
46,66251.4574988817
47,55882.096973881045
48,28425.617595420397
49,83379.71924106003
50,36652.51370650306
51,55761.35591212669
52,59823.98613032461
53,42943.95119098147
54,36556.854067833105
55,66251.4574988817
56,36903.59407867951
57,42511.217805344364
58,36950.66053179009
59,43157.36881247769
60,36292.5427576513
61,24538.797191136247
62,56639.33092143213
63,36272.11869049612
64,36420.30462279563
65,24578.777937923274
66,54280.325426402866
67,35374.39950001092
68,42039.44079399256
69,24578.777937923274
70,54995.349561850955
71,24530.816279907165
72,36420.30462279563
73,27848.086593638815
74,36324.85642699205
75,42511.217805344364
76,48780.156505402105
77,35400.93326803357
78,46307.29097260123
79,54245.699192206725
80,24605.31170594592
81,54220.61776912232
82,55835.66554465535
83,36324.85642699205
84,36324.85642699205
85,36420.30462279563
86,54406.86445076947
87,36745.01100204681
88,59823.98613032461
89,46955.01972496525
90,36948.196114425744
91,24493.518581155884
92,54654.17208250407
93,35743.62957127535
94,31582.455525920046
95,46888.19747361308
96,54659.301367934764
97,24485.021123231192
98,49069.62837018396
99,36914.78888689334
100,32766.65126836066
101,36518.726059728426
102,36914.78888689334
103,40438.225083258185
104,36422.32834215652
105,29727.970071231495
106,58758.35769657795
107,54583.43993896634
108,36823.441239551576
109,35643.784466008896
110,48993.76694121554
111,24464.25902713764
112,46549.93201059285
113,32495.53259436311
114,58383.94682115763
115,24497.97596486057
116,28113.833208277683
117,36361.945066223474
118,59871.49853816764
119,23459.65494707612
120,43275.268449525196
121,37071.274144530726
122,23565.78778184681
123,46793.04351112507
124,36712.11540717433
125,32861.199283825474
126,28148.511306581702
127,35956.418295938856
128,37165.822159995536
129,23361.15547379863
130,37165.822159995536
131,43372.43661103435
132,43275.268449525196
133,43372.43661103435
134,23038.217331717235
135,46822.91856432083
136,35755.41497443523
137,37204.9184098846
138,22973.28402323208
139,43405.51208453822
140,49299.63494188617
141,43405.51208453822
142,49299.63494188617
143,49169.39130687315
144,27907.453989238737
145,22973.28402323208
146,36520.125106099134
147,37071.274144530726
148,37071.274144530726
149,49169.39130687315
150,37071.274144530726
151,31672.446587160084
152,32375.458475781565
153,49169.39130687315
154,29922.85630796813
155,43275.268449525196
156,28053.96329111689
157,37071.274144530726
158,37071.274144530726
159,49169.39130687315
160,32766.65126836066
161,37071.274144530726
162,35852.98364584602
163,31672.446587160084
164,32766.65126836066
165,46763.471692938394
166,35956.418295938856
167,37071.274144530726
168,29922.85630796813
169,37071.274144530726
170,32766.65126836066
171,40589.757644263256
172,31672.446587160084
173,35956.418295938856
174,54995.349561850955
175,37071.274144530726
176,54980.21871410566
177,35755.41497443523
178,46521.34881359989
179,22973.28402323208
180,49299.63494188617
181,36994.988121670154
182,28471.125105713796
